date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2002-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,175.92,1.5525
2002-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,150.18,1.3254
2002-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,358.7,3.1656
2002-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,155.61,1.3733
2002-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,196.87,1.7374
2002-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,153.35,1.3533
2002-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,146.95,1.2968
2002-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,337.59,2.9793
2002-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,141.5,1.2488
2002-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,239.07,2.1098
2002-02-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,169.76,1.4826
2002-02-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,148.54,1.2973
2002-02-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,381.97,3.3358
2002-02-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,159.15,1.3899
2002-02-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,201.59,1.7606
2002-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,181.94,1.5767
2002-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,175.0,1.5165
2002-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,361.11,3.1294
2002-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,233.33,2.0221
2002-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,171.25,1.484
2002-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,345.36,2.9929
2002-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,174.02,1.5081
2002-04-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,190.22,1.6441
2002-04-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,187.5,1.6206
2002-04-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,331.52,2.8654
2002-04-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,184.78,1.5971
2002-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,188.37,1.6281
2002-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,357.34,3.0885
2002-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,185.59,1.6041
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,208.67,1.7982
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,195.12,1.6815
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,349.59,3.0126
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,195.12,1.6815
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,242.53,2.09
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,189.04,1.6291
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,191.74,1.6523
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,186.26,1.6051
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,419.14,3.612
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,222.26,1.8843
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,269.88,2.2881
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,187.82,1.5924
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,343.93,2.9159
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,191.8,1.6261
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,412.71,3.499
2002-07-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,233.48,1.9066
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,229.08,1.8708
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,231.71,1.8922
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,345.1,2.8182
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,406.29,3.3179
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,216.45,1.7247
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,219.81,1.7515
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,219.81,1.7515
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,241.63,1.9253
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,204.99,1.6334
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,207.49,1.6533
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,322.14,2.5669
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,204.11,1.6264
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,372.76,2.9702
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,135.46,1.0783
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,141.68,1.1278
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,163.37,1.3004
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,171.56,1.3656
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,133.06,1.0592
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,129.37,1.0298
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,266.19,2.1189
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,130.61,1.0396
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,112.5,0.8929
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,120.0,0.9524
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,290.0,2.3017
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,157.5,1.2501
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,102.29,0.8118
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,101.47,0.8054
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,207.85,1.6497
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,103.11,0.8184
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,98.33,0.7784
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,130.0,1.0291
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,324.0,2.5647
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,100.0,0.7916
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,150.0,1.1874
2002-11-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,98.75,0.7817
2002-11-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,120.0,0.9499
2002-11-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,320.0,2.533
2002-11-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,85.0,0.6728
2002-11-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,130.0,1.0291
2002-11-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,97.75,0.7738
2002-11-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,97.38,0.7708
2002-11-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,210.98,1.6701
2002-11-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,100.76,0.7976
2002-11-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,127.36,1.0081
2002-12-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,110.01,0.8703
2002-12-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,125.92,0.9962
2002-12-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,277.64,2.1964
2002-12-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,100.16,0.7924
2002-12-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,114.23,0.9037
2002-12-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,125.28,0.9911
2002-12-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,314.52,2.4882
2002-12-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,98.9,0.7824
2002-12-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,112.36,0.8889
2003-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,109.05,0.8615
2003-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,120.35,0.9508
2003-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,232.63,1.8379
2003-01-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,108.24,0.8551
2003-01-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,114.01,0.9007
2003-01-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,136.06,1.0749
2003-01-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,113.95,0.9002
2003-01-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,210.76,1.665
2003-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,114.27,0.9028
2003-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,121.95,0.9634
2003-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,214.2,1.6923
2003-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,115.21,0.9102
2003-01-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,236.09,1.8652
2003-02-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Maize,KG,actual,Wholesale,NGN,130.5,1.0305
2003-02-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Millet,KG,actual,Wholesale,NGN,120.0,0.9476
2003-02-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,412.5,3.2574
2003-02-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,102.5,0.8094
2003-02-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,103.86,0.8201
2003-02-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,129.65,1.0238
2003-02-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,301.01,2.377
2003-02-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,118.21,0.9335
2003-02-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,122.36,0.9663
2003-02-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,120.53,0.9518
2003-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,99.12,0.7824
2003-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,116.89,0.9227
2003-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,220.52,1.7407
2003-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,92.83,0.7328
2003-03-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,279.08,2.2028
2003-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,97.84,0.7723
2003-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,128.15,1.0115
2003-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,320.26,2.5279
2003-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,102.41,0.8084
2003-03-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,185.09,1.461
2003-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,110.36,0.8711
2003-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,114.96,0.9074
2003-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,211.47,1.6692
2003-03-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,114.96,0.9074
2003-04-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,97.4,0.7671
2003-04-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,355.88,2.8026
2003-04-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,97.43,0.7673
2003-04-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,186.94,1.4721
2003-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,104.74,0.8249
2003-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,112.62,0.8869
2003-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,231.98,1.8268
2003-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,112.62,0.8869
2003-04-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,192.01,1.512
2003-05-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Maize,KG,actual,Wholesale,NGN,111.2,0.8742
2003-05-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Millet,KG,actual,Wholesale,NGN,111.2,0.8742
2003-05-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,296.0,2.3269
2003-05-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,92.26,0.7253
2003-05-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,351.45,2.7628
2003-05-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,187.71,1.4756
2003-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,104.46,0.8212
2003-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,108.77,0.8551
2003-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,181.36,1.4257
2003-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,95.35,0.7486
2003-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,118.65,0.9315
2003-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,240.44,1.8877
2003-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,85.81,0.6737
2003-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,119.36,0.9371
2003-06-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,84.53,0.6637
2003-06-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,114.89,0.902
2003-06-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,283.16,2.2231
2003-06-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,178.52,1.4016
2003-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,99.3,0.7796
2003-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,179.34,1.408
2003-07-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,71.41,0.5609
2003-07-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,99.1,0.7783
2003-07-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,252.65,1.9843
2003-07-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,70.35,0.5525
2003-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,85.94,0.675
2003-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,91.15,0.7159
2003-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,316.85,2.4885
2003-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,91.15,0.7159
2003-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,172.76,1.3568
2003-08-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Maize,KG,actual,Wholesale,NGN,96.48,0.7567
2003-08-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Millet,KG,actual,Wholesale,NGN,90.92,0.713
2003-08-15,Borno,Mobbar,Damassack (CBM),13.01,12.56,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,82.29,0.6454
2003-08-15,Kano,Dawakin Tofa,Dawanau,12.090120315551758,8.429120063781738,cereals and tubers,Maize (white),100 KG,actual,Wholesale,NGN,2500.0,19.607
2003-08-15,Kano,Dawakin Tofa,Dawanau,12.090120315551758,8.429120063781738,cereals and tubers,Millet,100 KG,actual,Wholesale,NGN,2500.0,19.607
2003-08-15,Kano,Dawakin Tofa,Dawanau,12.090120315551758,8.429120063781738,cereals and tubers,Sorghum (white),100 KG,actual,Wholesale,NGN,1800.0,14.117
2003-08-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Maize,KG,actual,Wholesale,NGN,70.15,0.5501
2003-08-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Millet,KG,actual,Wholesale,NGN,86.05,0.6749
2003-08-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,226.33,1.7751
2003-08-15,Katsina,Mai'Adua,Mai Adoua (CBM),13.18,8.23,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,64.84,0.5085
2003-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,76.72,0.6017
2003-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,83.15,0.6521
2003-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,82.6,0.6478
2003-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Wheat,KG,actual,Wholesale,NGN,149.27,1.1707
2003-09-15,Kano,Dawakin Tofa,Dawanau,12.090120315551758,8.429120063781738,cereals and tubers,Maize (white),100 KG,actual,Wholesale,NGN,2500.0,19.5572
